1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01	5.0000000000e-01	6.0000000000e-01	7.0000000000e-01	8.0000000000e-01	9.0000000000e-01	
4.5000000000e-02	8.0000000000e-02	1.0500000000e-01	1.2000000000e-01	1.2500000000e-01	1.2000000000e-01	1.0500000000e-01	8.0000000000e-02	4.5000000000e-02	
2.1487500000e-02	3.6800000000e-02	4.6987500000e-02	5.2800000000e-02	5.4687500000e-02	5.2800000000e-02	4.6987500000e-02	3.6800000000e-02	2.1487500000e-02	
1.0512893672e-02	1.7722880000e-02	2.2389837422e-02	2.5006080000e-02	2.5848388672e-02	2.5006080000e-02	2.2389837422e-02	1.7722880000e-02	1.0512893672e-02	
5.2011863693e-03	8.7043897623e-03	1.0944266301e-02	1.2190387982e-02	1.2590124737e-02	1.2190387982e-02	1.0944266301e-02	8.7043897623e-03	5.2011863693e-03	
2.5870670148e-03	4.3143116806e-03	5.4122446681e-03	6.0208912112e-03	6.2158067483e-03	6.0208912112e-03	5.4122446681e-03	4.3143116806e-03	2.5870670148e-03	
1.2901870495e-03	2.1478491976e-03	2.6914761379e-03	2.9923200401e-03	3.0885852474e-03	2.9923200401e-03	2.6914761379e-03	2.1478491976e-03	1.2901870495e-03	
6.4426123346e-04	1.0716179707e-03	1.3421160470e-03	1.4916830304e-03	1.5395229443e-03	1.4916830304e-03	1.3421160470e-03	1.0716179707e-03	6.4426123346e-04	
3.2192308046e-04	5.3523480283e-04	6.7015738578e-04	7.4472895609e-04	7.6857640669e-04	7.4472895609e-04	6.7015738578e-04	5.3523480283e-04	3.2192308046e-04	
1.6090972299e-04	2.6747416327e-04	3.3485413743e-04	3.7208716744e-04	3.8399284850e-04	3.7208716744e-04	3.3485413743e-04	2.6747416327e-04	1.6090972299e-04	
8.0441915528e-05	1.3370131042e-04	1.6737100507e-04	1.8597435929e-04	1.9192269900e-04	1.8597435929e-04	1.6737100507e-04	1.3370131042e-04	8.0441915528e-05	
4.0217722313e-05	6.6841717190e-05	8.3671496007e-05	9.2969886413e-05	9.5942932336e-05	9.2969886413e-05	8.3671496007e-05	6.6841717190e-05	4.0217722313e-05	
2.0108052424e-05	3.3418624687e-05	4.1832247544e-05	4.6480621506e-05	4.7966863645e-05	4.6480621506e-05	4.1832247544e-05	3.3418624687e-05	2.0108052424e-05	
1.0053824045e-05	1.6708753941e-05	2.0915248803e-05	2.3239230529e-05	2.3982281413e-05	2.3239230529e-05	2.0915248803e-05	1.6708753941e-05	1.0053824045e-05	
5.0268614829e-06	8.3542373795e-06	1.0457405678e-05	1.1619345234e-05	1.1990853131e-05	1.1619345234e-05	1.0457405678e-05	8.3542373795e-06	5.0268614829e-06	
2.5134181068e-06	4.1770837931e-06	5.2286481603e-06	5.8096051122e-06	5.9953546754e-06	5.8096051122e-06	5.2286481603e-06	4.1770837931e-06	2.5134181068e-06	
1.2567058947e-06	2.0885331725e-06	2.6143104108e-06	2.9047856804e-06	2.9976593656e-06	2.9047856804e-06	2.6143104108e-06	2.0885331725e-06	1.2567058947e-06	
6.2835215772e-07	1.0442644053e-06	1.3071517881e-06	1.4523886213e-06	1.4988251898e-06	1.4523886213e-06	1.3071517881e-06	1.0442644053e-06	6.2835215772e-07	
3.1417588145e-07	5.2213165740e-07	6.5357503971e-07	7.2619325593e-07	7.4941147166e-07	7.2619325593e-07	6.5357503971e-07	5.2213165740e-07	3.1417588145e-07	
1.5708789137e-07	2.6106569239e-07	3.2678730628e-07	3.6309636429e-07	3.7470545502e-07	3.6309636429e-07	3.2678730628e-07	2.6106569239e-07	1.5708789137e-07	

1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01	5.0000000000e-01	6.0000000000e-01	7.0000000000e-01	8.0000000000e-01	9.0000000000e-01	
1.3500000000e-01	2.4000000000e-01	3.1500000000e-01	3.6000000000e-01	3.7500000000e-01	3.6000000000e-01	3.1500000000e-01	2.4000000000e-01	1.3500000000e-01	
1.7516250000e-01	2.7360000000e-01	3.2366250000e-01	3.4560000000e-01	3.5156250000e-01	3.4560000000e-01	3.2366250000e-01	2.7360000000e-01	1.7516250000e-01	
2.1672089789e-01	2.9811456000e-01	3.2835762914e-01	3.3924096000e-01	3.4194946289e-01	3.3924096000e-01	3.2835762914e-01	2.9811456000e-01	2.1672089789e-01	
2.5462942546e-01	3.1386340367e-01	3.3080834479e-01	3.3623479659e-01	3.3753004158e-01	3.3623479659e-01	3.3080834479e-01	3.1386340367e-01	2.5462942546e-01	
2.8468992173e-01	3.2302975126e-01	3.3206127571e-01	3.3477143723e-01	3.3540526892e-01	3.3477143723e-01	3.3206127571e-01	3.2302975126e-01	2.8468992173e-01	
3.0546235529e-01	3.2802229659e-01	3.3269487733e-01	3.3404928307e-01	3.3436286175e-01	3.3404928307e-01	3.3269487733e-01	3.2802229659e-01	3.0546235529e-01	
3.1823265719e-01	3.3063550430e-01	3.3301349389e-01	3.3369053932e-01	3.3384650765e-01	3.3369053932e-01	3.3301349389e-01	3.3063550430e-01	3.1823265719e-01	
3.2544094963e-01	3.3197350139e-01	3.3317326017e-01	3.3351174493e-01	3.3358952547e-01	3.3351174493e-01	3.3317326017e-01	3.3197350139e-01	3.2544094963e-01	
3.2929370690e-01	3.3265064365e-01	3.3325325831e-01	3.3342249139e-01	3.3346133095e-01	3.3342249139e-01	3.3325325831e-01	3.3265064365e-01	3.2929370690e-01	
